epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,129.634,0.31853,0.21861,0.778,0.99986,1,0.995,0.96476,0.25572,0.21646,0.77191,0.000446819,0.000446819,0.000446819
45,132.651,0.32579,0.22001,0.77922,0.99986,1,0.995,0.92253,0.36265,0.23998,0.78122,0.000427565,0.000427565,0.000427565
46,135.794,0.30248,0.2126,0.77489,0.99987,1,0.995,0.92757,0.36097,0.2477,0.78036,0.00040843,0.00040843,0.00040843
47,139.022,0.28705,0.20624,0.77413,0.99989,1,0.995,0.93292,0.35043,0.22248,0.77947,0.000389445,0.000389445,0.000389445
48,142.291,0.28201,0.20541,0.77628,0.99988,1,0.995,0.96656,0.28338,0.21621,0.77346,0.000370637,0.000370637,0.000370637
49,145.508,0.29045,0.20269,0.7771,0.99989,1,0.995,0.97497,0.23958,0.20398,0.77056,0.000352037,0.000352037,0.000352037
50,149.07,0.28611,0.20158,0.77681,0.9999,1,0.995,0.89437,0.48943,0.24876,0.79676,0.000333672,0.000333672,0.000333672
51,152.466,0.28676,0.19902,0.77706,0.99989,1,0.995,0.91828,0.37151,0.22094,0.78265,0.000315572,0.000315572,0.000315572
52,155.687,0.28167,0.19665,0.7753,0.99988,1,0.995,0.93336,0.34389,0.23494,0.77851,0.000297763,0.000297763,0.000297763
53,159.026,0.29232,0.19943,0.77514,0.99986,1,0.995,0.90781,0.39499,0.2538,0.78297,0.000280275,0.000280275,0.000280275
54,162.284,0.28951,0.19909,0.77724,0.99985,1,0.995,0.94028,0.3464,0.23557,0.77916,0.000263132,0.000263132,0.000263132
55,165.149,0.26597,0.18995,0.7724,0.99987,1,0.995,0.95058,0.326,0.21872,0.7763,0.000246363,0.000246363,0.000246363
56,168.014,0.26721,0.18899,0.77339,0.99986,1,0.995,0.96078,0.31674,0.21135,0.77561,0.000229993,0.000229993,0.000229993
57,170.893,0.25119,0.18141,0.77037,0.99989,1,0.995,0.97106,0.28803,0.19956,0.77383,0.000214046,0.000214046,0.000214046
58,173.754,0.26636,0.18616,0.76923,0.99989,1,0.995,0.95584,0.31047,0.19805,0.7757,0.000198548,0.000198548,0.000198548
59,176.644,0.2606,0.18256,0.77374,0.99987,1,0.995,0.9859,0.22316,0.18485,0.76949,0.000183523,0.000183523,0.000183523
60,179.505,0.24728,0.17993,0.77178,0.99987,1,0.995,0.95685,0.3158,0.20549,0.77589,0.000168994,0.000168994,0.000168994
61,182.352,0.24814,0.17578,0.77138,0.99988,1,0.995,0.97388,0.2809,0.19429,0.77381,0.000154982,0.000154982,0.000154982
62,185.198,0.24645,0.17698,0.76914,0.99987,1,0.995,0.9253,0.37514,0.21682,0.78172,0.00014151,0.00014151,0.00014151
63,188.055,0.2484,0.17813,0.76899,0.99989,1,0.995,0.97681,0.2714,0.19082,0.77258,0.000128599,0.000128599,0.000128599
64,190.907,0.24146,0.17283,0.76811,0.9999,1,0.995,0.91595,0.38483,0.20864,0.78198,0.000116268,0.000116268,0.000116268
65,193.763,0.24748,0.17417,0.77122,0.9999,1,0.995,0.92667,0.38161,0.20903,0.7821,0.000104537,0.000104537,0.000104537
66,196.603,0.23365,0.17057,0.7723,0.9999,1,0.995,0.97892,0.26612,0.18787,0.77249,9.34225e-05,9.34225e-05,9.34225e-05
67,199.5,0.23352,0.17058,0.77055,0.99988,1,0.995,0.974,0.27838,0.193,0.77292,8.29431e-05,8.29431e-05,8.29431e-05
68,202.35,0.2363,0.16945,0.7729,0.99987,1,0.995,0.9674,0.29284,0.19396,0.77366,7.31145e-05,7.31145e-05,7.31145e-05
69,205.137,0.23104,0.16776,0.7742,0.99988,1,0.995,0.98552,0.24518,0.18246,0.77096,6.39518e-05,6.39518e-05,6.39518e-05
70,207.978,0.2367,0.16962,0.77118,0.99987,1,0.995,0.97704,0.26359,0.18483,0.77236,5.54691e-05,5.54691e-05,5.54691e-05
71,241.708,0.22909,0.16814,0.76867,0.99986,1,0.995,0.97784,0.27173,0.18928,0.77269,4.76796e-05,4.76796e-05,4.76796e-05
72,245.218,0.21809,0.16349,0.77006,0.99986,1,0.995,0.97268,0.29066,0.19334,0.77356,4.05953e-05,4.05953e-05,4.05953e-05
73,248.084,0.22092,0.1638,0.77227,0.99987,1,0.995,0.97647,0.27205,0.1889,0.7727,3.4227e-05,3.4227e-05,3.4227e-05
74,250.9,0.21736,0.16238,0.77129,0.99987,1,0.995,0.98362,0.25135,0.18389,0.77127,2.85847e-05,2.85847e-05,2.85847e-05
75,253.743,0.21736,0.1634,0.76818,0.99987,1,0.995,0.98034,0.2559,0.18388,0.77156,2.36769e-05,2.36769e-05,2.36769e-05
76,256.629,0.21503,0.16352,0.76886,0.99987,1,0.995,0.97538,0.27937,0.18753,0.77306,1.95113e-05,1.95113e-05,1.95113e-05
77,259.433,0.21034,0.16185,0.76925,0.99987,1,0.995,0.97683,0.27591,0.18577,0.77277,1.60943e-05,1.60943e-05,1.60943e-05
78,262.258,0.21544,0.16303,0.76909,0.99987,1,0.995,0.98224,0.25273,0.18275,0.77112,1.34311e-05,1.34311e-05,1.34311e-05
79,265.109,0.21575,0.16318,0.76612,0.99987,1,0.995,0.9841,0.25218,0.18319,0.77123,1.15259e-05,1.15259e-05,1.15259e-05
80,267.958,0.21528,0.16045,0.76512,0.99987,1,0.995,0.98076,0.2562,0.183,0.77143,1.03816e-05,1.03816e-05,1.03816e-05
