epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.9331,0.83022,1.86298,0.8755,1,0.47148,0.9554,0.62507,1.15094,1.98268,0.86888,0.00018,0.00018,0.08218
2,6.92521,0.66955,0.66261,0.82329,1,0.75668,0.98897,0.7004,1.10431,1.5842,0.87316,0.000369859,0.000369859,0.0633699
3,9.94587,0.62883,0.50538,0.82984,1,0.97146,0.99436,0.66987,1.15946,0.7572,0.91251,0.000559145,0.000559145,0.0445591
4,12.8734,0.68579,0.48588,0.83897,1,0.98532,0.99482,0.79891,0.69324,0.55861,0.80403,0.000747427,0.000747427,0.0257474
5,15.7444,0.61746,0.45253,0.82677,0.99002,0.99155,0.99482,0.8146,0.56006,0.50679,0.78291,0.000934271,0.000934271,0.00693427
6,18.6276,0.59215,0.4278,0.82135,0.99006,0.99584,0.99483,0.79905,0.66761,0.47647,0.79702,0.000990489,0.000990489,0.000990489
7,21.4766,0.56139,0.40686,0.82079,0.99827,0.99833,0.99497,0.88182,0.44551,0.39676,0.7753,0.000986323,0.000986323,0.000986323
8,24.34,0.52528,0.37962,0.80756,1,0.99736,0.995,0.87882,0.44291,0.37826,0.77033,0.000981415,0.000981415,0.000981415
9,27.2141,0.5521,0.38213,0.81591,1,0.99999,0.995,0.74861,0.99777,0.49764,0.87254,0.000975773,0.000975773,0.000975773
10,30.0751,0.51418,0.36001,0.80891,0.99992,1,0.995,0.80983,0.73983,0.41756,0.81419,0.000969405,0.000969405,0.000969405
11,32.9299,0.5027,0.34976,0.8057,1,0.99995,0.995,0.87552,0.50071,0.36615,0.77964,0.00096232,0.00096232,0.00096232
12,35.7972,0.44948,0.3395,0.79572,1,0.99995,0.995,0.90548,0.41355,0.32884,0.76806,0.000954531,0.000954531,0.000954531
13,38.6844,0.48052,0.33765,0.80038,0.99993,1,0.995,0.79497,0.80361,0.43714,0.81909,0.000946048,0.000946048,0.000946048
14,41.5457,0.4238,0.3146,0.7962,1,1,0.995,0.82382,0.7046,0.37033,0.80906,0.000936886,0.000936886,0.000936886
