epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.21246,0.83828,1.93925,0.88436,1,0.8169,0.94946,0.65842,1.15819,2.13716,0.90178,0.00018,0.00018,0.08218
2,7.26412,0.67273,0.6398,0.83348,1,0.66653,0.9825,0.58574,1.48852,1.69897,1.00213,0.000369859,0.000369859,0.0633699
3,10.3341,0.63694,0.49262,0.84565,0.99118,0.93697,0.99338,0.65706,1.18252,0.83646,0.94828,0.000559145,0.000559145,0.0445591
4,13.265,0.71573,0.48408,0.85243,0.99357,0.985,0.99485,0.80148,0.59898,0.635,0.80369,0.000747427,0.000747427,0.0257474
5,16.1293,0.63749,0.45058,0.83433,0.99542,0.99667,0.99493,0.87914,0.44121,0.48305,0.78879,0.000934271,0.000934271,0.00693427
6,19.1314,0.58923,0.4295,0.82733,0.99391,0.99833,0.99493,0.81853,0.66105,0.48093,0.81535,0.000990489,0.000990489,0.000990489
7,22.0461,0.57259,0.40446,0.82347,0.99829,1,0.995,0.84002,0.6137,0.42316,0.81882,0.000986323,0.000986323,0.000986323
8,24.9542,0.54932,0.38787,0.82079,0.99656,0.99667,0.995,0.8662,0.4538,0.39203,0.79057,0.000981415,0.000981415,0.000981415
9,27.7978,0.54466,0.3802,0.82122,1,0.99987,0.995,0.8516,0.62471,0.41853,0.81448,0.000975773,0.000975773,0.000975773
10,30.678,0.49784,0.35757,0.81058,1,0.99911,0.995,0.86002,0.58233,0.39923,0.80338,0.000969405,0.000969405,0.000969405
11,33.571,0.49948,0.35367,0.81107,0.99971,1,0.995,0.89758,0.37944,0.37911,0.78183,0.00096232,0.00096232,0.00096232
12,36.4682,0.45641,0.33604,0.80387,1,0.99814,0.995,0.94443,0.33368,0.34037,0.77589,0.000954531,0.000954531,0.000954531
13,39.3422,0.49852,0.34011,0.80646,0.99983,1,0.995,0.84039,0.67459,0.38954,0.81727,0.000946048,0.000946048,0.000946048
14,42.2739,0.43993,0.31954,0.79769,0.99988,1,0.995,0.85366,0.5672,0.34593,0.80252,0.000936886,0.000936886,0.000936886
15,45.1954,0.39828,0.29972,0.79308,0.99982,1,0.995,0.87937,0.51551,0.3331,0.79798,0.000927057,0.000927057,0.000927057
16,48.053,0.39426,0.29007,0.79283,0.99987,1,0.995,0.88191,0.52577,0.31708,0.79783,0.000916577,0.000916577,0.000916577
17,50.9288,0.41064,0.2873,0.78847,0.99984,1,0.995,0.8783,0.53463,0.31344,0.81259,0.000905463,0.000905463,0.000905463
18,53.9398,0.39509,0.28498,0.79033,0.99986,1,0.995,0.83154,0.68046,0.33763,0.84666,0.000893732,0.000893732,0.000893732
19,56.7882,0.45139,0.30002,0.80093,0.99989,1,0.995,0.86386,0.60592,0.34913,0.81902,0.000881401,0.000881401,0.000881401
20,59.6952,0.41242,0.29129,0.79153,0.99988,1,0.995,0.88246,0.52646,0.33114,0.79634,0.00086849,0.00086849,0.00086849
21,62.5699,0.47077,0.30752,0.80023,0.99983,1,0.995,0.91965,0.33725,0.32749,0.7752,0.000855018,0.000855018,0.000855018
22,65.4709,0.4271,0.29732,0.789,0.99989,1,0.995,0.90443,0.43767,0.33195,0.78686,0.000841006,0.000841006,0.000841006
23,68.3578,0.40161,0.28256,0.79112,0.99987,1,0.995,0.92393,0.35758,0.27905,0.77745,0.000826477,0.000826477,0.000826477
24,71.2405,0.41238,0.28045,0.78933,0.9998,1,0.995,0.91149,0.37858,0.27655,0.77868,0.000811452,0.000811452,0.000811452
25,74.063,0.40058,0.27502,0.79127,0.99989,1,0.995,0.94231,0.32782,0.27624,0.77455,0.000795954,0.000795954,0.000795954
26,76.9505,0.37039,0.2629,0.78405,0.99989,1,0.995,0.89015,0.46818,0.29029,0.78842,0.000780007,0.000780007,0.000780007
27,79.7966,0.37674,0.26186,0.78284,0.99988,1,0.995,0.92742,0.33587,0.25873,0.77553,0.000763637,0.000763637,0.000763637
28,82.7173,0.41143,0.26905,0.79334,0.99989,1,0.995,0.89761,0.481,0.31013,0.79404,0.000746868,0.000746868,0.000746868
29,85.5872,0.41365,0.27002,0.78951,0.9999,1,0.995,0.92735,0.3406,0.29328,0.77637,0.000729725,0.000729725,0.000729725
30,88.4667,0.41619,0.27798,0.78855,0.99987,1,0.995,0.94683,0.33948,0.27642,0.77742,0.000712237,0.000712237,0.000712237
