epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.56784,1.20752,2.23385,1.05602,1,0.97936,0.995,0.6107,1.33897,1.80315,0.90427,0.00015,0.00015,0.08515
2,6.21695,0.9461,0.77762,0.9131,1,0.97869,0.995,0.62126,1.2391,2.01769,0.8955,0.000309527,0.000309527,0.0693095
3,8.84815,0.81896,0.61018,0.9061,0.99714,0.77408,0.99379,0.77047,0.71876,2.01374,0.84257,0.000467136,0.000467136,0.0534671
4,11.3689,0.84074,0.5718,0.90974,0.99544,0.99778,0.99491,0.73127,0.94963,0.98778,0.8702,0.000621384,0.000621384,0.0376214
5,13.9157,0.75182,0.53842,0.87257,0.49083,0.61909,0.57584,0.40879,0.83653,1.37457,0.88164,0.000770861,0.000770861,0.0217709
6,16.4335,0.71525,0.52991,0.87798,0.85272,0.78444,0.90402,0.74906,0.69686,1.30729,0.8522,0.000914204,0.000914204,0.0059142
7,18.9121,0.65261,0.4814,0.85621,0.88594,0.90667,0.9506,0.80753,0.57009,0.72676,0.81816,0.000946048,0.000946048,0.000946048
8,21.4124,0.59499,0.44914,0.84531,0.99896,1,0.995,0.88568,0.49295,0.43723,0.7989,0.000927057,0.000927057,0.000927057
9,23.8845,0.54717,0.42554,0.82833,0.99884,1,0.995,0.86072,0.54916,0.41678,0.80872,0.000905463,0.000905463,0.000905463
10,26.3708,0.54261,0.40741,0.83031,0.99986,1,0.995,0.84125,0.62919,0.40517,0.81898,0.000881401,0.000881401,0.000881401
11,28.8352,0.5057,0.3932,0.82779,0.99974,1,0.995,0.91804,0.40404,0.4144,0.78459,0.000855018,0.000855018,0.000855018
12,31.2838,0.5235,0.38197,0.82141,0.99966,1,0.995,0.92937,0.37475,0.33564,0.77684,0.000826477,0.000826477,0.000826477
13,33.7459,0.49883,0.37131,0.81614,0.99986,1,0.995,0.88737,0.47552,0.33831,0.79011,0.000795954,0.000795954,0.000795954
14,36.2082,0.45561,0.35403,0.81534,0.99985,1,0.995,0.94027,0.33069,0.32623,0.77303,0.000763637,0.000763637,0.000763637
15,38.6449,0.46469,0.34303,0.80886,0.99987,1,0.995,0.88206,0.50344,0.3153,0.7984,0.000729725,0.000729725,0.000729725
16,41.0969,0.47591,0.35523,0.81879,1,0.99975,0.995,0.93228,0.34722,0.31581,0.77674,0.000694428,0.000694428,0.000694428
17,43.5177,0.45467,0.34515,0.81507,0.99338,0.99984,0.99442,0.92753,0.35614,0.39471,0.78088,0.000657963,0.000657963,0.000657963
18,45.9351,0.4678,0.34592,0.81448,0.99708,1,0.99462,0.90559,0.43928,0.33719,0.78553,0.000620555,0.000620555,0.000620555
19,48.4161,0.43299,0.31805,0.80284,0.99986,1,0.995,0.89437,0.45334,0.29803,0.79041,0.000582435,0.000582435,0.000582435
20,50.87,0.41414,0.31609,0.8139,0.99983,1,0.995,0.9223,0.3688,0.30063,0.77884,0.000543837,0.000543837,0.000543837
21,53.2946,0.44301,0.31172,0.80772,0.99985,1,0.995,0.93829,0.33659,0.2824,0.77162,0.000505,0.000505,0.000505
22,55.7454,0.45222,0.31163,0.80813,0.99556,0.99754,0.99496,0.88764,0.49768,0.35556,0.79987,0.000466163,0.000466163,0.000466163
23,58.1742,0.42321,0.30059,0.81769,0.99986,1,0.995,0.93793,0.33003,0.26747,0.77329,0.000427565,0.000427565,0.000427565
24,60.6115,0.4059,0.29241,0.80482,0.99984,1,0.995,0.87104,0.56182,0.31045,0.80162,0.000389445,0.000389445,0.000389445
25,63.0546,0.41084,0.2894,0.80614,0.99984,1,0.995,0.93291,0.35737,0.27907,0.77627,0.000352037,0.000352037,0.000352037
26,65.5074,0.39938,0.28501,0.80967,0.99986,1,0.995,0.90496,0.43162,0.27645,0.78386,0.000315572,0.000315572,0.000315572
27,67.9282,0.3695,0.27247,0.79734,0.99987,1,0.995,0.91942,0.38197,0.25588,0.7767,0.000280275,0.000280275,0.000280275
28,70.4067,0.36988,0.26493,0.80184,0.99988,1,0.995,0.88776,0.48008,0.26514,0.79255,0.000246363,0.000246363,0.000246363
29,72.855,0.34767,0.26285,0.79749,0.99987,1,0.995,0.90809,0.42214,0.25358,0.78554,0.000214046,0.000214046,0.000214046
30,75.2671,0.34403,0.25612,0.79562,0.99988,1,0.995,0.94517,0.31859,0.22641,0.77168,0.000183523,0.000183523,0.000183523
31,108.61,0.36574,0.25887,0.7934,0.99988,1,0.995,0.90419,0.46226,0.26794,0.78625,0.000154982,0.000154982,0.000154982
32,111.087,0.37723,0.26013,0.8004,0.99987,1,0.995,0.89608,0.48149,0.2565,0.7907,0.000128599,0.000128599,0.000128599
33,113.476,0.3414,0.24852,0.7948,0.99987,1,0.995,0.924,0.37547,0.2379,0.77754,0.000104537,0.000104537,0.000104537
34,115.885,0.34585,0.2516,0.79076,0.99987,1,0.995,0.93494,0.33705,0.22918,0.77327,8.29431e-05,8.29431e-05,8.29431e-05
35,118.283,0.34529,0.24827,0.79289,0.99987,1,0.995,0.9261,0.35949,0.23369,0.77529,6.39518e-05,6.39518e-05,6.39518e-05
36,120.7,0.33069,0.2421,0.78957,0.99987,1,0.995,0.9217,0.37647,0.23277,0.77725,4.76796e-05,4.76796e-05,4.76796e-05
37,123.168,0.31782,0.23918,0.7947,0.99988,1,0.995,0.92199,0.37917,0.22897,0.77777,3.4227e-05,3.4227e-05,3.4227e-05
38,125.803,0.31821,0.23472,0.79012,0.99988,1,0.995,0.91861,0.39484,0.22819,0.77978,2.36769e-05,2.36769e-05,2.36769e-05
39,128.453,0.32036,0.23807,0.79318,0.99988,1,0.995,0.91309,0.40895,0.22807,0.78156,1.60943e-05,1.60943e-05,1.60943e-05
40,131.16,0.31649,0.2358,0.79193,0.99988,1,0.995,0.91359,0.40903,0.22779,0.78167,1.15259e-05,1.15259e-05,1.15259e-05
